,Frame,Num_detections,Yolo_det,Sort_tracks,Sort_track_nums
1,1,0,[],[],[]
2,2,0,[],[],[]
3,3,0,[],[],[]
4,4,0,[],[],[]
5,5,0,[],[],[]
6,6,0,[],[],[]
7,7,0,[],[],[]
8,8,0,[],[],[]
9,9,0,[],[],[]
10,10,0,[],[],[]
11,11,0,[],[],[]
12,12,0,[],[],[]
13,13,0,[],[],[]
14,14,0,[],[],[]
15,15,0,[],[],[]
16,16,0,[],[],[]
17,17,0,[],[],[]
18,18,0,[],[],[]
19,19,0,[],[],[]
20,20,0,[],[],[]
21,21,0,[],[],[]
22,22,0,[],[],[]
23,23,0,[],[],[]
24,24,0,[],[],[]
25,25,0,[],[],[]
26,26,0,[],[],[]
27,27,0,[],[],[]
28,28,0,[],[],[]
29,29,0,[],[],[]
30,30,0,[],[],[]
31,31,0,[],[],[]
32,32,0,[],[],[]
33,33,0,[],[],[]
34,34,0,[],[],[]
35,35,0,[],[],[]
36,36,0,[],[],[]
37,37,0,[],[],[]
38,38,0,[],[],[]
39,39,0,[],[],[]
40,40,0,[],[],[]
41,41,0,[],[],[]
42,42,0,[],[],[]
43,43,0,[],[],[]
44,44,0,[],[],[]
45,45,0,[],[],[]
46,46,0,[],[],[]
47,47,0,[],[],[]
48,48,0,[],[],[]
49,49,0,[],[],[]
50,50,0,[],[],[]
51,51,0,[],[],[]
52,52,0,[],[],[]
53,53,0,[],[],[]
54,54,0,[],[],[]
55,55,0,[],[],[]
56,56,0,[],[],[]
57,57,0,[],[],[]
58,58,0,[],[],[]
59,59,0,[],[],[]
60,60,0,[],[],[]
61,61,0,[],[],[]
62,62,0,[],[],[]
63,63,0,[],[],[]
64,64,0,[],[],[]
65,65,0,[],[],[]
66,66,0,[],[],[]
67,67,0,[],[],[]
68,68,0,[],[],[]
69,69,0,[],[],[]
70,70,0,[],[],[]
71,71,0,[],[],[]
72,72,0,[],[],[]
73,73,0,[],[],[]
74,74,0,[],[],[]
75,75,0,[],[],[]
76,76,0,[],[],[]
77,77,0,[],[],[]
78,78,0,[],[],[]
79,79,0,[],[],[]
80,80,0,[],[],[]
81,81,0,[],[],[]
82,82,0,[],[],[]
83,83,0,[],[],[]
84,84,0,[],[],[]
85,85,0,[],[],[]
86,86,0,[],[],[]
87,87,0,[],[],[]
88,88,0,[],[],[]
89,89,0,[],[],[]
90,90,0,[],[],[]
91,91,0,[],[],[]
92,92,0,[],[],[]
93,93,0,[],[],[]
94,94,0,[],[],[]
95,95,0,[],[],[]
96,96,0,[],[],[]
97,97,0,[],[],[]
98,98,0,[],[],[]
99,99,0,[],[],[]
100,100,0,[],[],[]
101,101,0,[],[],[]
102,102,0,[],[],[]
103,103,0,[],[],[]
104,104,0,[],[],[]
105,105,0,[],[],[]
106,106,0,[],[],[]
107,107,0,[],[],[]
108,108,0,[],[],[]
109,109,0,[],[],[]
110,110,0,[],[],[]
111,111,0,[],[],[]
112,112,0,[],[],[]
113,113,0,[],[],[]
114,114,0,[],[],[]
115,115,0,[],[],[]
116,116,0,[],[],[]
117,117,0,[],[],[]
118,118,0,[],[],[]
119,119,0,[],[],[]
120,120,0,[],[],[]
121,121,0,[],[],[]
122,122,0,[],[],[]
123,123,0,[],[],[]
124,124,0,[],[],[]
125,125,0,[],[],[]
126,126,0,[],[],[]
127,127,0,[],[],[]
128,128,0,[],[],[]
129,129,0,[],[],[]
130,130,0,[],[],[]
131,131,0,[],[],[]
132,132,0,[],[],[]
133,133,0,[],[],[]
134,134,0,[],[],[]
135,135,0,[],[],[]
136,136,0,[],[],[]
137,137,0,[],[],[]
138,138,0,[],[],[]
139,139,0,[],[],[]
140,140,0,[],[],[]
141,141,0,[],[],[]
142,142,0,[],[],[]
143,143,0,[],[],[]
144,144,0,[],[],[]
145,145,0,[],[],[]
146,146,0,[],[],[]
147,147,0,[],[],[]
148,148,0,[],[],[]
149,149,0,[],[],[]
150,150,0,[],[],[]
151,151,0,[],[],[]
152,152,0,[],[],[]
153,153,1,"[[468, 243, 508, 289, 0.1374]]","[[468, 243, 508, 289, 1]]",[1]
154,154,1,"[[469, 242, 509, 293, 0.2003]]","[[468, 242, 509, 292, 1]]",[1]
155,155,1,"[[462, 234, 511, 298, 0.6459]]","[[462, 235, 511, 296, 1]]",[1]
156,156,1,"[[452, 234, 505, 304, 0.6254]]","[[452, 234, 506, 302, 1]]",[1]
157,157,1,"[[451, 231, 507, 307, 0.4971]]","[[449, 231, 506, 306, 1]]",[1]
158,158,1,"[[452, 232, 505, 303, 0.5305]]","[[448, 230, 506, 305, 1]]",[1]
159,159,0,[],[],[]
160,160,1,"[[427, 232, 507, 342, 0.1778]]","[[433, 234, 505, 329, 1]]",[1]
161,161,1,"[[426, 231, 506, 344, 0.8243]]","[[426, 233, 505, 339, 1]]",[1]
162,162,1,"[[418, 229, 501, 346, 0.7996]]","[[418, 231, 502, 345, 1]]",[1]
163,163,1,"[[428, 245, 500, 336, 0.9571]]","[[420, 236, 502, 345, 1]]",[1]
164,164,1,"[[416, 245, 510, 345, 0.8097]]","[[417, 239, 505, 349, 1]]",[1]
165,165,0,[],[],[]
166,166,0,[],[],[]
167,167,1,"[[405, 238, 512, 338, 0.0481]]","[[410, 236, 506, 346, 1]]",[1]
168,168,1,"[[404, 238, 508, 343, 0.2992]]","[[405, 235, 506, 347, 1]]",[1]
169,169,1,"[[402, 247, 511, 339, 0.8837]]","[[402, 239, 507, 346, 1]]",[1]
170,170,1,"[[401, 243, 510, 338, 0.51]]","[[400, 239, 508, 344, 1]]",[1]
171,171,1,"[[409, 235, 512, 359, 0.8144]]","[[402, 239, 512, 352, 1]]",[1]
172,172,1,"[[408, 238, 510, 355, 0.8935]]","[[403, 239, 512, 354, 1]]",[1]
173,173,1,"[[412, 234, 505, 357, 0.3081]]","[[404, 237, 511, 356, 1]]",[1]
174,174,1,"[[364, 265, 489, 362, 0.1763]]","[[379, 251, 493, 365, 1]]",[1]
175,175,1,"[[359, 274, 497, 361, 0.9918]]","[[368, 262, 491, 368, 1]]",[1]
176,176,1,"[[357, 270, 499, 360, 0.9895]]","[[362, 264, 492, 367, 1]]",[1]
177,177,1,"[[356, 270, 497, 353, 0.9988]]","[[357, 265, 493, 362, 1]]",[1]
178,178,1,"[[357, 271, 495, 355, 0.9994]]","[[355, 266, 493, 361, 1]]",[1]
179,179,1,"[[354, 272, 492, 354, 0.9993]]","[[352, 268, 492, 360, 1]]",[1]
180,180,1,"[[352, 278, 488, 360, 0.9997]]","[[349, 272, 489, 363, 1]]",[1]
181,181,1,"[[343, 277, 497, 365, 0.9996]]","[[345, 275, 491, 366, 1]]",[1]
182,182,1,"[[343, 280, 488, 368, 0.9985]]","[[342, 278, 489, 369, 1]]",[1]
183,183,1,"[[336, 283, 494, 377, 0.9996]]","[[338, 282, 490, 375, 1]]",[1]
184,184,1,"[[336, 286, 484, 376, 0.9998]]","[[334, 284, 486, 377, 1]]",[1]
